ID_Cliente,Edad,Genero,Monto_Total,Visitas_Web,Devoluciones
1,150,Masculino,73.1784381698296,52,0
2,69,Otro,-50.0,4,0
3,46,Masculino,78.45590101188625,59,0
4,32,Otro,324.20818758117355,72,0
5,60,Otro,99.53030131338139,20,0
6,25,Masculino,179.70413518703103,93,0
7,78,Masculino,449.47792664899276,63,0
8,38,Masculino,242.504222908676,54,0
9,56,Femenino,337.2695130060428,74,1
10,75,Femenino,94.8505769531978,98,0
11,36,Femenino,104.62547470684434,57,0
12,40,Otro,30.505187662441404,90,0
13,28,Masculino,93.19371337382455,41,1
14,28,Otro,146.86997095614373,3,0
15,41,Femenino,97.14663205346757,6,0
16,70,Masculino,53.919890274078725,5,0
17,53,Otro,69.5512589037441,5,0
18,57,Masculino,236.05120695201927,54,0
19,41,Otro,111.50035515963543,47,0
20,20,Masculino,188.81009698303293,87,0
21,39,Femenino,256.92275408345245,49,0
22,70,Femenino,348.4482686140743,9,0
23,19,Masculino,29.74329245221793,99,0
24,41,Otro,401.8113902659764,20,0
25,61,Femenino,317.85724065579933,61,0
26,47,Femenino,50.5210461389728,35,0
27,55,Femenino,438.11673650026745,50,0
28,19,Masculino,461.26704006032253,82,0
29,77,Masculino,40.39766134895581,62,1
30,38,Otro,146.03160876805623,17,0
31,50,Otro,405.1355264587035,88,0
32,29,Otro,376.77311844280075,3,0
33,75,Masculino,100.8230389749467,32,0
34,39,Masculino,112.97649377331969,99,0
35,78,Otro,191.84609431638148,13,0
36,61,Otro,247.67400125100494,89,0
37,42,Masculino,313.13571066407985,73,0
38,66,Otro,191.0832265694036,68,1
39,44,Femenino,236.91074354717588,14,0
40,76,Masculino,376.38702421647383,98,0
41,59,Otro,28.45642781494767,11,0
42,45,Masculino,134.06788425639814,56,0
43,77,Femenino,359.6846222904884,67,0
44,33,Masculino,448.70374704788406,92,0
45,32,Masculino,260.9661079156186,29,1
46,79,Masculino,270.969551037372,9,0
47,79,Masculino,62.96069955082038,67,0
48,64,Femenino,229.50835356008105,25,1
49,79,Masculino,271.2161519297338,98,0
50,68,Masculino,129.18931152920015,76,0
51,61,Otro,142.29456154972198,42,0
52,72,Masculino,195.1805978397128,9,1
53,69,Otro,20.324851312197058,79,1
54,74,Femenino,168.15775155296578,40,0
55,20,Femenino,114.0037994248086,25,0
56,54,Femenino,170.8099538910892,5,0
57,68,Femenino,69.12356352552348,11,1
58,24,Otro,446.4131039221786,59,0
59,38,Masculino,301.06350601470683,98,1
60,26,Femenino,342.92058522122767,88,1
61,56,Masculino,396.7993212982921,79,0
62,35,Otro,254.48745637577355,38,0
63,21,Otro,53.047481018793896,72,0
64,42,Otro,273.41365222017913,5,0
65,77,Femenino,297.7587272712203,48,0
66,31,Masculino,375.39262261322955,90,0
67,67,Masculino,221.79734787942806,18,1
68,75,Masculino,72.95055821842845,70,1
69,26,Otro,149.40830588847564,37,0
70,43,Femenino,188.22878408713188,60,0
71,70,Otro,326.6764896318188,48,0
72,19,Otro,289.89598013543235,77,0
73,37,Masculino,184.80934732699575,28,0
74,45,Otro,493.3992142841636,69,0
75,64,Masculino,307.0267740751963,77,1
76,77,Femenino,126.6225145547693,81,0
77,24,Masculino,60.32252034768763,40,1
78,61,Femenino,85.32454863073053,45,1
79,78,Masculino,130.89630804421674,96,0
80,25,Otro,89.1535322105525,62,1
81,64,Otro,101.82455827311418,93,0
82,52,Femenino,150.05408507563814,58,0
83,31,Femenino,95.36637489678249,67,0
84,34,Femenino,449.46667535463513,56,0
85,53,Masculino,49.77441850137386,40,0
86,67,Masculino,267.2483251946397,98,0
87,57,Femenino,211.3892468114393,40,0
88,21,Otro,491.37433297676284,91,0
89,19,Masculino,65.34304261126162,77,0
90,79,Masculino,205.25031573289053,33,0
91,23,Masculino,485.05577708829304,6,0
92,71,Femenino,434.16573812510336,88,0
93,59,Femenino,410.4567787296725,19,0
94,21,Femenino,136.74343383849805,80,0
95,71,Femenino,94.14947402743722,40,0
96,46,Femenino,337.80085615300897,92,0
97,35,Otro,465.4295466779532,97,0
98,43,Otro,283.0354361303186,59,0
99,61,Femenino,290.304411495516,59,0
100,51,Masculino,147.5497663467091,48,1
101,27,Femenino,387.16679079745313,41,1
102,79,Otro,102.05791491890768,13,1
103,53,Otro,168.9409862198773,45,1
104,31,Masculino,218.751136702736,89,0
105,48,Otro,258.9752803660407,53,0
106,65,Femenino,129.15956401718176,42,0
107,32,Masculino,66.71262570984013,63,0
108,25,Femenino,309.39851077517915,27,0
109,31,Femenino,151.7846558111052,38,0
110,40,Masculino,295.0161093863687,60,0
111,77,Femenino,86.06054912672204,7,0
112,74,Otro,246.01807985793315,5,0
113,79,Femenino,271.20252723400125,45,0
114,57,Masculino,35.86762127457797,58,1
115,38,Masculino,175.26779417592414,31,0
116,33,Masculino,76.29598436162789,23,1
117,62,Femenino,41.52204804641981,42,0
118,35,Masculino,495.0855337548782,10,1
119,64,Masculino,168.2922071151269,32,0
120,70,Femenino,406.93354124584374,53,0
121,41,Otro,135.1466005068624,30,0
122,43,Femenino,344.09558252861336,39,0
123,42,Masculino,382.63153741600155,31,0
124,77,Masculino,302.06516352753977,82,0
125,77,Femenino,241.33654429530253,2,0
126,77,Otro,212.09612747508794,78,0
127,62,Masculino,181.2710164727962,77,0
128,58,Masculino,465.50451610931077,93,1
129,46,Masculino,417.08820011209343,12,0
130,32,Femenino,482.88067277125793,39,0
131,62,Masculino,71.34349089617415,66,0
132,18,Otro,368.25962911218386,96,0
133,42,Masculino,469.817653613898,13,0
134,24,Masculino,99.21358588809065,46,1
135,26,Otro,43.049922876037584,27,1
136,41,Masculino,373.2785578274839,17,0
